County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,Student Group,GradeLevel,DisciplineDenominator,DisciplineNumerator,DisciplineRate
Yakima,"39,208",West Valley School District (Yakima),"3,074",West Valley High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,4.20%
Yakima,"39,208",West Valley School District (Yakima),"5,540",West Valley Open Doors,R,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Yakima,"39,208",West Valley School District (Yakima),"5,506",WEST VALLEY VIRTUAL ACADEMY 9-12,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Snohomish,"31,016",Arlington School District,"4,287",Weston High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Chelan,"4,246",Wenatchee School District,"1,613",Westside High School,A,All Students,12th Grade,195,4,2.10%
Skagit,"29,801",ESD 189 acting as a school district,"3,420",Whatcom Co Detention Center,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Lewis,"21,303",White Pass School District,"2,859",White Pass Jr. Sr. High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Pierce,"27,416",White River School District,"4,569",White River High School,P,All Students,12th Grade,316,11,3.50%
Pierce,"27,416",White River School District,"5,338",White River Reengagement Program,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<9%
Klickitat,"20,405",White Salmon Valley School District,"5,077",White Salmon Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Yakima,"39,209",Mount Adams School District,"2,532",White Swan High School,P,All Students,12th Grade,65,6,9.20%
Lincoln,"22,200",Wilbur School District,"3,289",Wilbur Secondary School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pacific,"25,160",Willapa Valley School District,"2,542",Willapa Valley Middle-High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pierce,"27,010",Tacoma School District,"3,246",Wilson,P,All Students,12th Grade,296,12,4.10%
Grant,"13,167",Wilson Creek School District,"2,473",Wilson Creek High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Whatcom,"37,502",Ferndale School District,"5,245",WINDWARD HIGH SCHOOL,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Lewis,"21,232",Winlock School District,"3,597",Winlock Senior High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Lewis,"21,232",Winlock School District,"1,829",Winolequa Learning Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Grays Harbor,"14,117",Wishkah Valley School District,"3,375",Wishkah Valley Elementary/High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Klickitat,"20,094",Wishram School District,"2,605",Wishram High And Elementary Schl,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,417",Northshore School District,"3,396",Woodinville Community Center,I,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,417",Northshore School District,"4,208",Woodinville HS,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Cowlitz,"8,404",Woodland School District,"1,795",Woodland Alternative School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Cowlitz,"8,404",Woodland School District,"3,546",Woodland High School,P,All Students,12th Grade,205,5,2.40%
Yakima,"39,007",Yakima School District,"5,263",Yakima Adult Jail,J,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Yakima,"39,007",Yakima School District,"5,153",Yakima Online,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Yakima,"39,007",Yakima School District,"5,355",Yakima Open Doors,R,All Students,12th Grade,172,4,2.30%
Yakima,"39,007",Yakima School District,"5,224",Yakima Satellite Alternative Programs,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Thurston,"34,002",Yelm School District,"1,627",Yelm Extension School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Thurston,"34,002",Yelm School District,"2,633",Yelm High School 12,P,All Students,12th Grade,396,14,3.50%
Snohomish,"31,103",Monroe School District,"1,883",Youth Re-Engagement,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Yakima,"39,205",Zillah School District,"2,240",Zillah High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
